,accuracy,log_loss,negative.precision,negative.recall,negative.f1-score,negative.support,neutral.precision,neutral.recall,neutral.f1-score,neutral.support,positive.precision,positive.recall,positive.f1-score,positive.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
Dacy,0.66,1.5045371720568987,0.8979591836734694,0.528,0.6649874055415617,250,0.0502793296089385,0.5,0.0913705583756345,18,0.9306569343065694,0.7680722891566265,0.8415841584158417,332,0.6262984825296591,0.5986907630522088,0.5326473741110126,600,0.8906215434018488,0.66,0.7454957700503521,600
LogisticRegression,0.9083333333333333,0.32219955297612185,0.9411764705882353,0.9230769230769231,0.9320388349514563,52,0.0,0.0,0.0,4,0.8970588235294118,0.953125,0.9242424242424244,64,0.6127450980392157,0.6254006410256411,0.6187604197312936,120,0.8862745098039215,0.9083333333333333,0.896812788074924,120
MultinomialNB,0.8902077151335311,0.8385414572124789,0.8459302325581395,0.9603960396039604,0.8995363214837713,303,0.0,0.0,0.0,18,0.939209726443769,0.8753541076487252,0.906158357771261,353,0.5950466530006362,0.6119167157508952,0.601898226418344,674,0.872192720919535,0.8902077151335311,0.8789813140991659,674
MultinomialNB-TfIdf,0.8976261127596439,0.3728234632823878,0.8588235294117647,0.9636963696369636,0.9082426127527216,303,0.0,0.0,0.0,18,0.937125748502994,0.886685552407932,0.9112081513828238,353,0.5986497593049195,0.6167939740149652,0.6064835880451818,674,0.8768975053906849,0.8976261127596439,0.8855400431783553,674
